OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.6512501YJ2761D,2020/12/18 00:00:00.000,functional,1992/01/01 00:00:00.000,1992/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512501&rc2=YJ2761D,6512501YJ2761D,6512501YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,19,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512501YJ2761D,jpeg,NotOfficial,grossFloorArea,1793,m2,137.500000000000000,1080.571347320000086,148.578560256499998,20.444409891294399,65.650223284837494,241.138263013046696
2,ES.SDGC.BU.6512502YJ2761D,2020/12/18 00:00:00.000,functional,1969/01/01 00:00:00.000,1969/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512502&rc2=YJ2761D,6512502YJ2761D,6512502YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,33,32, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512502YJ2761D,jpeg,NotOfficial,grossFloorArea,2847,m2,125.000000000000000,1152.488262939999913,144.061032867499989,19.822798122567999,97.588038812308596,372.993918485168535
3,ES.SDGC.BU.6512503YJ2761D,2020/12/18 00:00:00.000,functional,1965/01/01 00:00:00.000,1965/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512503&rc2=YJ2761D,6512503YJ2761D,6512503YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,44,38, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512503YJ2761D,jpeg,NotOfficial,grossFloorArea,3821,m2,225.000000000000000,1128.649497139999994,253.946136856500004,34.942988431454403,90.560654324277735,537.290116499982560
4,ES.SDGC.BU.6512504YJ2761D,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512504&rc2=YJ2761D,6512504YJ2761D,6512504YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,14,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512504YJ2761D,jpeg,NotOfficial,grossFloorArea,1719,m2,137.500000000000000,1094.292338980000068,150.465196609750024,20.704011053501603,89.597700417037956,321.261016499043649
5,ES.SDGC.BU.6512505YJ2761D,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512505&rc2=YJ2761D,6512505YJ2761D,6512505YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512505YJ2761D,jpeg,NotOfficial,grossFloorArea,1963,m2,125.000000000000000,1135.470272830000113,141.933784103750014,19.530088692676003,72.285743948784727,278.010372501436223
6,ES.SDGC.BU.6512506YJ2761D,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512506&rc2=YJ2761D,6512506YJ2761D,6512506YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512506YJ2761D,jpeg,NotOfficial,grossFloorArea,1982,m2,175.000000000000000,1168.457669939999960,204.480092239499982,28.136460692155197,66.645086002194731,264.656049995119474
7,ES.SDGC.BU.6512507YJ2761D,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512507&rc2=YJ2761D,6512507YJ2761D,6512507YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512507YJ2761D,jpeg,NotOfficial,grossFloorArea,1954,m2,156.250000000000000,1155.258144529999981,180.509085082812504,24.838050107395002,66.505644339024457,263.446245011038741
8,ES.SDGC.BU.6512508YJ2761D,2020/12/18 00:00:00.000,functional,1968/01/01 00:00:00.000,1968/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512508&rc2=YJ2761D,6512508YJ2761D,6512508YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,16,14, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512508YJ2761D,jpeg,NotOfficial,grossFloorArea,2058,m2,125.000000000000000,1108.851574710000023,138.606446838750003,19.072247085012002,67.501620801834875,279.741699999132379
9,ES.SDGC.BU.6512509YJ2761D,2020/12/18 00:00:00.000,functional,1956/01/01 00:00:00.000,1956/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512509&rc2=YJ2761D,6512509YJ2761D,6512509YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,17,15, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512509YJ2761D,jpeg,NotOfficial,grossFloorArea,2506,m2,137.500000000000000,1158.281205609999915,159.263665771375003,21.914680410141202,133.622406879866560,623.075023487417866
10,ES.SDGC.BU.6512510YJ2761D,2020/12/18 00:00:00.000,functional,1985/01/01 00:00:00.000,1985/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6512510&rc2=YJ2761D,6512510YJ2761D,6512510YJ2761D,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,29,12, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6512510YJ2761D,jpeg,NotOfficial,grossFloorArea,1927,m2,112.500000000000000,1110.960361059999968,124.983040619249991,17.197666389208798,62.849416386122130,231.259171503011117
