OID_,gml_id,beginLifes,conditionO,beginning,end,endLifespa,informatio,reference,localId,namespace,horizontal,horizont_1,horizont_2,referenceG,currentUse,numberOfBu,numberOfDw,numberOfFl,documentLi,format,sourceStat,officialAr,value,value_uom,AREA,MEAN,Usable_SR_MWh,Elec_Prod_MWh,Shape_Length,Shape_Area
1,ES.SDGC.BU.8016701YJ2781E,2020/12/18 00:00:00.000,functional,1977/01/01 00:00:00.000,1977/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8016701&rc2=YJ2781E,8016701YJ2781E,8016701YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,773,320, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8016701YJ2781E,jpeg,NotOfficial,grossFloorArea,44372,m2,2087.500000000000000,1221.113432919999923,2549.074291220499617,350.752622471940754,965.290404686874354,3615.126388941043842
2,ES.SDGC.BU.8016702YJ2781E,2020/12/18 00:00:00.000,functional,1970/01/01 00:00:00.000,1970/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8016702&rc2=YJ2781E,8016702YJ2781E,8016702YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8016702YJ2781E,jpeg,NotOfficial,grossFloorArea,2461,m2,1193.750000000000000,1104.365274960000079,1318.336046983499955,181.403040064929598,282.517817757818079,1607.431360316147675
3,ES.SDGC.BU.8017601YJ2781E,2020/12/18 00:00:00.000,functional,1979/01/01 00:00:00.000,1979/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8017601&rc2=YJ2781E,8017601YJ2781E,8017601YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,686,319, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8017601YJ2781E,jpeg,NotOfficial,grossFloorArea,39496,m2,2481.250000000000000,1080.721722270000100,2681.540773382437692,368.980010417423387,1017.934279409750843,4152.469630822031831
4,ES.SDGC.BU.8115301YJ2781E,2020/10/08 00:00:00.000,functional,1998/01/01 00:00:00.000,1998/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8115301&rc2=YJ2781E,8115301YJ2781E,8115301YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,114,108, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8115301YJ2781E,jpeg,NotOfficial,grossFloorArea,16712,m2,550.000000000000000,1191.981315609999911,655.589723585499883,90.209145965364797,197.324345872870566,1381.655711913876075
5,ES.SDGC.BU.8116801YJ2781E,2020/10/08 00:00:00.000,functional,1999/01/01 00:00:00.000,1999/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8116801&rc2=YJ2781E,8116801YJ2781E,8116801YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,113,42, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8116801YJ2781E,jpeg,NotOfficial,grossFloorArea,6878,m2,275.000000000000000,1121.280697910000072,308.352191925249997,42.429261608914402,156.739047073388463,687.091569992874838
6,ES.SDGC.BU.8117101YJ2781E,2020/10/21 00:00:00.000,functional,1999/01/01 00:00:00.000,1999/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8117101&rc2=YJ2781E,8117101YJ2781E,8117101YJ2781E,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,133,70, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8117101YJ2781E,jpeg,NotOfficial,grossFloorArea,10367,m2,575.000000000000000,1196.700363160000052,688.102708817000007,94.682932733219204,209.263902101619522,1050.167062503033776
7,ES.SDGC.BU.8118501YJ2781G,2020/10/21 00:00:00.000,functional,1999/01/01 00:00:00.000,1999/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8118501&rc2=YJ2781G,8118501YJ2781G,8118501YJ2781G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,220,88, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8118501YJ2781G,jpeg,NotOfficial,grossFloorArea,14017,m2,1168.750000000000000,1148.077924270000040,1341.816073990562472,184.633891781101397,267.889144127044460,1781.615951372802101
8,ES.SDGC.BU.8118801YJ2781G,2020/12/18 00:00:00.000,functional,1979/01/01 00:00:00.000,1979/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8118801&rc2=YJ2781G,8118801YJ2781G,8118801YJ2781G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,396,192, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8118801YJ2781G,jpeg,NotOfficial,grossFloorArea,30533,m2,2350.000000000000000,1173.510275009999987,2757.749146273499719,379.466282527233545,485.359160201303041,5193.039115803148889
9,ES.SDGC.BU.8118802YJ2781G,2021/09/10 00:00:00.000,functional,1965/01/01 00:00:00.000,1965/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8118802&rc2=YJ2781G,8118802YJ2781G,8118802YJ2781G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,4_1_office,1,0, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8118802YJ2781G,jpeg,NotOfficial,grossFloorArea,4983,m2,1625.000000000000000,1036.487441550000085,1684.292092518750223,231.758591930580025,222.041009557285122,2170.045124020538879
10,ES.SDGC.BU.8118803YJ2781G,2020/12/18 00:00:00.000,functional,1950/01/01 00:00:00.000,1950/01/01 00:00:00.000, ,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8118803&rc2=YJ2781G,8118803YJ2781G,8118803YJ2781G,ES.SDGC.BU,0.100000000000000,m,footPrint,1,1_residential,1,1, ,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8118803YJ2781G,jpeg,NotOfficial,grossFloorArea,272,m2,62.500000000000000,1145.850543210000069,71.615658950625004,9.854314671606000,109.839976303379345,198.271361019012232
